"PROVINCE_ID","PROVINCE_CODE","PROVINCE_NAME","Province_Eng","GEO_ID","useflag","Priority"
"1","10","กรุงเทพมหานคร","Bangkok",,"Y","2"
"2","11","สมุทรปราการ","Changwat Samut Prakan",,"Y","60"
"3","12","นนทบุรี","Changwat Nonthaburi",,"Y","24"
"4","13","ปทุมธานี","Changwat Pathum Thani",,"Y","29"
"5","14","พระนครศรีอยุธยา","Changwat Phra Nakhon Si Ayutthaya",,"Y","33"
"6","15","อ่างทอง","Changwat Ang Thong",,"Y","72"
"7","16","ลพบุรี","Changwat Lop Buri",,"Y","52"
"8","17","สิงห์บุรี","Changwat Sing Buri",,"Y","65"
"9","18","ชัยนาท","Changwat Chai Nat",,"Y","10"
"10","19","สระบุรี","Changwat Saraburi",,"Y","64"
"11","20","ชลบุรี","Changwat Chon Buri",,"Y","9"
"12","21","ระยอง","Changwat Rayong",,"Y","50"
"13","22","จันทบุรี","Changwat Chanthaburi",,"Y","7"
"14","23","ตราด","Changwat Trat",,"Y","16"
"15","24","ฉะเชิงเทรา","Changwat Chachoengsao",,"Y","8"
"16","25","ปราจีนบุรี","Changwat Prachin Buri",,"Y","31"
"17","26","นครนายก","Changwat Nakhon Nayok",,"Y","18"
"18","27","สระแก้ว","Changwat Sa Kaeo",,"Y","63"
"19","30","นครราชสีมา","Changwat Nakhon Ratchasima",,"Y","21"
"20","31","บุรีรัมย์","Changwat Buri Ram",,"Y","28"
"21","32","สุรินทร์","Changwat Surin",,"Y","69"
"22","33","ศรีสะเกษ","Changwat Si Sa Ket",,"Y","56"
"23","34","อุบลราชธานี","Changwat Ubon Ratchathani",,"Y","77"
"24","35","ยโสธร","Changwat Yasothon",,"Y","46"
"25","36","ชัยภูมิ","Changwat Chaiyaphum",,"Y","11"
"26","37","อำนาจเจริญ","Changwat Amnat Charoen",,"Y","73"
"27","38","บึงกาฬ","Changwat Bueng Kan",,"Y","27"
"28","39","หนองบัวลำภู","Changwat Nong Bua Lam Phu",,"Y","71"
"29","40","ขอนแก่น","Changwat Khon Kaen",,"Y","6"
"30","41","อุดรธานี","Changwat Udon Thani",,"Y","74"
"31","42","เลย","Changwat Loei",,"Y","55"
"32","43","หนองคาย","Changwat Nong Khai",,"Y","70"
"33","44","มหาสารคาม","Changwat Maha Sarakham",,"Y","43"
"34","45","ร้อยเอ็ด","Changwat Roi Et",,"Y","48"
"35","46","กาฬสินธุ์","Changwat Kalasin",,"Y","4"
"36","47","สกลนคร","Changwat Sakon Nakhon",,"Y","57"
"37","48","นครพนม","Changwat Nakhon Phanom",,"Y","20"
"38","49","มุกดาหาร","Changwat Mukdahan",,"Y","44"
"39","50","เชียงใหม่","Changwat Chiang Mai",,"Y","14"
"40","51","ลำพูน","Changwat Lamphun",,"Y","54"
"41","52","ลำปาง","Changwat Lampang",,"Y","53"
"42","53","อุตรดิตถ์","Changwat Uttaradit",,"Y","75"
"43","54","แพร่","Changwat Phrae",,"Y","41"
"44","55","น่าน","Changwat Nan",,"Y","26"
"45","56","พะเยา","Changwat Phayao",,"Y","34"
"46","57","เชียงราย","Changwat Chiang Rai",,"Y","13"
"47","58","แม่ฮ่องสอน","Changwat Mae Hong Son",,"Y","45"
"48","60","นครสวรรค์","Changwat Nakhon Sawan",,"Y","23"
"49","61","อุทัยธานี","Changwat Uthai Thani",,"Y","76"
"50","62","กำแพงเพชร","Changwat Kamphaeng Phet",,"Y","5"
"51","63","ตาก","Changwat Tak",,"Y","17"
"52","64","สุโขทัย","Changwat Sukhothai",,"Y","66"
"53","65","พิษณุโลก","Changwat Phitsanulok",,"Y","38"
"54","66","พิจิตร","Changwat Phichit",,"Y","37"
"55","67","เพชรบูรณ์","Changwat Phetchabun",,"Y","40"
"56","70","ราชบุรี","Changwat Ratchaburi",,"Y","51"
"57","71","กาญจนบุรี","Changwat Kanchanaburi",,"Y","3"
"58","72","สุพรรณบุรี","Changwat Suphan Buri",,"Y","67"
"59","73","นครปฐม","Changwat Nakhon Pathom",,"Y","19"
"60","74","สมุทรสาคร","Changwat Samut Sakhon",,"Y","62"
"61","75","สมุทรสงคราม","Changwat Samut Songkhram",,"Y","61"
"62","76","เพชรบุรี","Changwat Phetchaburi",,"Y","39"
"63","77","ประจวบคีรีขันธ์","Changwat Prachuap Khiri Khan",,"Y","30"
"64","80","นครศรีธรรมราช","Changwat Nakhon Si Thammarat",,"Y","22"
"65","81","กระบี่","Changwat Krabi",,"Y","1"
"66","82","พังงา","Changwat Phang-nga",,"Y","35"
"67","83","ภูเก็ต","Changwat Phuket",,"Y","42"
"68","84","สุราษฎร์ธานี","Changwat Surat Thani",,"Y","68"
"69","85","ระนอง","Changwat Ranong",,"Y","49"
"70","86","ชุมพร","Changwat Chumphon",,"Y","12"
"71","90","สงขลา","Changwat Songkhla",,"Y","58"
"72","91","สตูล","Changwat Satun",,"Y","59"
"73","92","ตรัง","Changwat Trang",,"Y","15"
"74","93","พัทลุง","Changwat Phatthalung",,"Y","36"
"75","94","ปัตตานี","Changwat Pattani",,"Y","32"
"76","95","ยะลา","Changwat Yala",,"Y","47"
"77","96","นราธิวาส","Changwat Narathiwat",,"Y","25"
